chlorophyll,current_speed,resident_detections,total_detections
0.82646406,0.28375682,,
0.74969864,0.3168502,,
0.73554415,0.3516059,,
0.6329025,0.38022178,,
0.7039036,0.40623656,,
0.6888677,0.41823184,,19.0
0.6924559,0.40868333,,27.0
0.37573597,0.40041375,,
0.27344504,0.38012496,,
0.21172342,0.35916913,,
0.23667797,0.35617074,,
0.3333094,0.30518287,,
0.3604034,0.29332805,,
0.41221815,0.2918349,,
0.61004925,0.28409106,,
0.8744439,0.22657947,,
1.0339603,0.2638189,,
1.1592078,0.26776204,,
0.7780547,0.3007872,,
0.8998443,0.32377088,,
0.91983503,0.32888222,,
0.9658007,0.3381328,,
1.0168236,0.33818358,,
1.0543351,0.31407648,,
0.8491403,0.30592763,,
0.7909037,0.30550957,,
0.67683816,0.30016977,,
0.7984259,0.29892197,,
0.75387955,0.27711737,,
0.9276361,0.2668628,,
1.1558814,0.2915622,,
1.0700178,0.32602337,,
1.0897267,0.34966862,,
1.0419588,0.37478483,,
0.8708414,0.39687213,,
0.94236875,0.38880402,,
0.8613962,0.38048005,,
0.6673681,0.38704407,,
0.8362096,0.36067885,,
1.0352693,0.32381463,,
0.9530905,0.26971903,,
0.84726256,0.23770203,,
0.7532049,0.22084269,,
0.5801327,0.23664147,,
0.6833816,0.23128302,,
0.7737583,0.25128627,,
0.9190885,0.27644897,,
0.9519689,0.2942509,,
0.994885,0.3081035,,
1.1401587,0.3467037,,
1.0715702,0.3640971,,
0.91703326,0.38272408,150.0,248.0
1.0662987,0.39995086,248.0,446.0
1.2084996,0.3955143,80.0,111.0
1.1185851,0.37129873,,
0.9235153,0.33965904,,
0.854983,0.3066399,,
0.9157082,0.29972333,,
0.9460254,0.33929914,,
1.0142305,0.2847307,,
0.9260334,0.34291807,,
0.9012841,0.35791832,,
0.8407465,0.3738572,,52.0
0.69452584,0.419479,,131.0
1.1012247,0.4100441,,67.0
0.73062825,0.41018173,,
0.8466103,0.43253642,,
1.005457,0.41293323,,
0.94458544,0.3838055,,
0.78699046,0.37079382,,
0.77964413,0.3412805,,
0.7649369,0.28566688,,
0.73709697,0.239369,,
0.78781563,0.21810591,,
0.7818466,0.2469208,,1.0
0.90353537,0.35795882,,
1.0860763,0.36065426,,
1.0242321,0.3725503,,
1.0038255,0.3778268,85.0,85.0
0.94504935,0.47977135,55.0,56.0
0.8019794,0.46472365,208.0,367.0
0.79637206,0.5093857,85.0,359.0
0.7524207,0.5034386,,110.0
1.0526812,0.4748928,,149.0
1.1078678,0.4628442,,56.0
1.0971708,0.43308836,,
1.322195,0.3659775,,
1.1910634,0.47545666,,
1.1379788,0.36182505,,
1.0694836,0.42519033,137.0,138.0
0.7747234,0.49314672,10.0,10.0
0.98584473,0.4620633,,
1.0234606,0.43280104,,
0.7992379,0.43379042,,
0.779155,0.45673418,,
0.8331345,0.4594712,,7.0
0.74615467,0.43258065,,14.0
0.8461679,0.42016625,,
0.90738934,0.41567641,,
0.9016551,0.4546788,,
0.7477397,0.37329078,,
0.6756768,0.3908398,,
0.6585181,0.38745108,,
0.60075396,0.3207971,47.0,48.0
0.5646925,0.30296126,,
0.6898967,0.33392295,,
0.8188564,0.3628482,,
1.0469509,0.43656594,,
1.0593536,0.4601373,,
1.1559577,0.5534445,,
1.2340448,0.6193873,,
1.0907649,0.5681057,94.0,94.0
1.0241947,0.5088471,,
1.0246896,0.44944742,,
1.0791612,0.37910816,,
1.0708625,0.30512524,,
1.0416341,0.26144427,,
1.1709764,0.24758047,,
1.0284647,0.3275093,,
1.0068338,0.39264768,,
0.9928596,0.43566656,158.0,159.0
0.98951626,0.4199249,208.0,209.0
1.0093089,0.42055154,165.0,165.0
0.86422193,0.3879481,,
0.7962378,0.3787806,,
1.0039303,0.3749492,,
1.140344,0.35200712,,3.0
1.1068562,0.3400703,,12.0
1.1688957,0.283544,,
1.0762872,0.27002794,,
1.0508001,0.28614148,,
0.9607178,0.25971395,,
0.8225925,0.1908345,,20.0
0.7924031,0.2422695,,45.0
0.82050365,0.32165295,,
1.0911605,0.34135002,,179.0
1.3817782,0.38621467,,
1.4752703,0.4333527,,
1.409692,0.4668836,,
1.4163322,0.45657218,,
1.4131773,0.45447016,,
1.4528359,0.4423461,,
1.6487578,0.46644193,118.0,119.0
1.5583091,0.38092816,51.0,51.0
1.1497223,0.38361114,68.0,276.0
0.97712994,0.33091733,8.0,58.0
1.1700573,0.29219383,,
1.400192,0.30684674,71.0,71.0
1.3119427,0.33424896,129.0,130.0
1.2448726,0.34475154,,19.0
1.2660658,0.3755977,,56.0
1.3072039,0.42034146,,
1.3733411,0.40531313,,
1.3825119,0.39583468,,
1.3661422,0.42656112,,
1.408421,0.42905876,21.0,21.0
1.3514125,0.37047946,127.0,127.0
1.2871449,0.27216133,147.0,148.0
1.2791706,0.23073795,333.0,334.0
1.1367462,0.21481508,104.0,104.0
1.1200154,0.2158533,72.0,132.0
1.0926452,0.21010561,148.0,267.0
1.1150188,0.2893975,315.0,397.0
1.1134315,0.32923067,161.0,161.0
1.1506113,0.3653972,199.0,199.0
1.1577623,0.4438546,116.0,116.0
1.2149799,0.44262898,23.0,23.0
1.2009896,0.44088334,72.0,73.0
1.1172538,0.4593501,131.0,293.0
1.054507,0.46227068,121.0,239.0
1.0849862,0.4633396,55.0,493.0
1.0849862,0.4633396,143.0,493.0
1.1088414,0.47198802,85.0,334.0
1.1317126,0.4223538,108.0,281.0
0.96890116,0.37142515,251.0,363.0
1.0930977,0.33104515,191.0,429.0
1.3485386,0.35696223,95.0,454.0
1.5362444,0.34180987,,47.0
1.6064978,0.35537696,,273.0
1.4943233,0.3212935,22.0,306.0
1.4137093,0.32906428,139.0,521.0
1.2151719,0.3327958,42.0,375.0
1.1360795,0.33950865,,75.0
1.1781623,0.33900213,,41.0
