transmitter_id,date,total_detections,valid_hours,avg_detections_per_hour,date_dt
A69-1601-32687,2011-06-20,55,5,11.0,2011-06-20
A69-1601-32687,2011-06-28,22,2,11.0,2011-06-28
A69-1601-32687,2011-06-29,139,12,11.58333333333333,2011-06-29
A69-1601-32687,2011-06-30,42,7,6.0,2011-06-30
A69-1601-32687,2011-07-05,95,9,10.55555555555556,2011-07-05
A69-1601-32687,2011-07-06,83,4,20.75,2011-07-06
A69-1601-32687,2011-07-07,128,9,14.22222222222222,2011-07-07
A69-1601-32687,2011-07-08,54,6,9.0,2011-07-08
A69-1601-32687,2011-07-09,46,3,15.33333333333333,2011-07-09
A69-1601-32687,2011-07-11,216,14,15.42857142857143,2011-07-11
A69-1601-32687,2011-07-12,18,1,18.0,2011-07-12
A69-1601-32687,2011-07-13,109,6,18.16666666666667,2011-07-13
A69-1601-32687,2011-07-15,15,2,7.5,2011-07-15
A69-1601-32687,2011-07-16,123,15,8.2,2011-07-16
A69-1601-32687,2011-07-17,178,10,17.8,2011-07-17
A69-1601-32687,2011-07-18,68,7,9.714285714285714,2011-07-18
A69-1601-32687,2011-07-19,57,5,11.4,2011-07-19
A69-1601-32687,2011-07-22,115,9,12.77777777777778,2011-07-22
A69-1601-32687,2011-07-23,128,11,11.63636363636364,2011-07-23
A69-1601-32687,2011-07-24,112,15,7.466666666666667,2011-07-24
A69-1601-32687,2011-07-25,157,18,8.722222222222221,2011-07-25
A69-1601-32687,2011-07-26,44,8,5.5,2011-07-26
A69-1601-32687,2011-07-27,87,10,8.7,2011-07-27
A69-1601-32687,2011-07-28,121,16,7.5625,2011-07-28
A69-1601-32687,2011-07-29,101,8,12.625,2011-07-29
A69-1601-32687,2011-07-30,58,5,11.6,2011-07-30
A69-1601-32687,2011-08-11,45,5,9.0,2011-08-11
A69-1601-32687,2011-08-15,80,4,20.0,2011-08-15
A69-1601-32687,2011-08-16,155,14,11.07142857142857,2011-08-16
A69-1601-32687,2011-08-17,96,11,8.727272727272727,2011-08-17
A69-1601-32687,2011-08-18,160,12,13.33333333333333,2011-08-18
A69-1601-32687,2011-08-19,52,5,10.4,2011-08-19
A69-1601-32687,2011-08-20,60,6,10.0,2011-08-20
A69-1601-32687,2011-08-21,42,3,14.0,2011-08-21
A69-1601-32687,2011-08-22,61,6,10.16666666666667,2011-08-22
A69-1601-32687,2011-08-23,241,18,13.38888888888889,2011-08-23
A69-1601-32687,2011-08-24,87,10,8.7,2011-08-24
