transmitter_id,date,total_detections,valid_hours,avg_detections_per_hour,date_dt
A69-1601-32687,20/06/2011,55,5,11,20/06/2011
A69-1601-32687,28/06/2011,22,2,11,28/06/2011
A69-1601-32687,29/06/2011,139,12,11.58333333,29/06/2011
A69-1601-32687,30/06/2011,42,7,6,30/06/2011
A69-1601-32687,05/07/2011,95,9,10.55555556,05/07/2011
A69-1601-32687,06/07/2011,83,4,20.75,06/07/2011
A69-1601-32687,07/07/2011,128,9,14.22222222,07/07/2011
A69-1601-32687,08/07/2011,54,6,9,08/07/2011
A69-1601-32687,09/07/2011,46,3,15.33333333,09/07/2011
A69-1601-32687,11/07/2011,216,14,15.42857143,11/07/2011
A69-1601-32687,12/07/2011,18,1,18,12/07/2011
A69-1601-32687,13/07/2011,109,6,18.16666667,13/07/2011
A69-1601-32687,15/07/2011,15,2,7.5,15/07/2011
A69-1601-32687,16/07/2011,123,15,8.2,16/07/2011
A69-1601-32687,17/07/2011,178,10,17.8,17/07/2011
A69-1601-32687,18/07/2011,68,7,9.714285714,18/07/2011
A69-1601-32687,19/07/2011,57,5,11.4,19/07/2011
A69-1601-32687,22/07/2011,115,9,12.77777778,22/07/2011
A69-1601-32687,23/07/2011,128,11,11.63636364,23/07/2011
A69-1601-32687,24/07/2011,112,15,7.466666667,24/07/2011
A69-1601-32687,25/07/2011,157,18,8.722222222,25/07/2011
A69-1601-32687,26/07/2011,44,8,5.5,26/07/2011
A69-1601-32687,27/07/2011,87,10,8.7,27/07/2011
A69-1601-32687,28/07/2011,121,16,7.5625,28/07/2011
A69-1601-32687,29/07/2011,101,8,12.625,29/07/2011
A69-1601-32687,30/07/2011,58,5,11.6,30/07/2011
A69-1601-32687,11/08/2011,45,5,9,11/08/2011
A69-1601-32687,15/08/2011,80,4,20,15/08/2011
A69-1601-32687,16/08/2011,155,14,11.07142857,16/08/2011
A69-1601-32687,17/08/2011,96,11,8.727272727,17/08/2011
A69-1601-32687,18/08/2011,160,12,13.33333333,18/08/2011
A69-1601-32687,19/08/2011,52,5,10.4,19/08/2011
A69-1601-32687,20/08/2011,60,6,10,20/08/2011
A69-1601-32687,21/08/2011,42,3,14,21/08/2011
A69-1601-32687,22/08/2011,61,6,10.16666667,22/08/2011
A69-1601-32687,23/08/2011,241,18,13.38888889,23/08/2011
A69-1601-32687,24/08/2011,87,10,8.7,24/08/2011
A69-1601-32687,25/08/2011,191,11,17.36363636,25/08/2011
A69-1601-32687,26/08/2011,185,19,9.736842105,26/08/2011
A69-1601-32687,27/08/2011,212,13,16.30769231,27/08/2011
A69-1601-32687,28/08/2011,75,4,18.75,28/08/2011
A69-1601-32687,08/09/2011,127,11,11.54545455,08/09/2011
A69-1601-32687,09/09/2011,95,9,10.55555556,09/09/2011
A69-1601-32687,10/09/2011,24,2,12,10/09/2011
A69-1601-32687,11/09/2011,24,4,6,11/09/2011
A69-1601-32687,15/09/2011,32,2,16,15/09/2011
A69-1601-32687,16/09/2011,53,7,7.571428571,16/09/2011
A69-1601-32687,17/09/2011,101,7,14.42857143,17/09/2011
A69-1601-32687,19/09/2011,51,5,10.2,19/09/2011
