transmitter_id,date,total_detections,valid_hours,avg_detections_per_hour,current,wind,salinity,temperature,u,v,chlorophyll
A69-1601-32687,2011-06-20,55,5,11.0,0.31227064,2.3979363,35.491646,22.037445,0.023685133,-0.010339313,1.0849862
A69-1601-32687,2011-06-28,22,2,11.0,0.390109,11.10816,35.533546,21.823017,-0.19875516,0.056739483,1.4943233
A69-1601-32687,2011-06-29,139,12,11.58333333,0.4720532,12.440138,35.53566,21.859299,-0.29908887,0.11932169,1.4137093
A69-1601-32687,2011-06-30,42,7,6.0,0.5856653,13.093818,35.54073,21.994509,-0.4136557,0.16907002,1.2151719
A69-1601-32687,2011-07-05,95,9,10.55555556,0.35465878,4.290062,35.56953,22.093294,0.056264464,-0.01960854,1.2903935
A69-1601-32687,2011-07-06,83,4,20.75,0.33200535,5.0630164,35.574753,22.035566,0.06931023,0.017572237,1.4069469
A69-1601-32687,2011-07-07,128,9,14.22222222,0.2978009,3.2509732,35.576103,22.019466,0.08477317,-0.0125399735,1.3207406
A69-1601-32687,2011-07-08,54,6,9.0,0.29521382,7.3780184,35.58213,21.907103,0.04713706,0.06623245,1.129842
A69-1601-32687,2011-07-09,46,3,15.33333333,0.2842736,5.8227224,35.58745,21.84432,0.016302295,0.047081884,0.97057617
A69-1601-32687,2011-07-11,216,14,15.42857143,0.35161492,8.694449,35.60961,21.57246,0.057446714,0.08887469,0.7869087
A69-1601-32687,2011-07-12,18,1,18.0,0.38086647,6.409492,35.615273,21.482094,-0.03095843,0.0015181567,0.8568011
A69-1601-32687,2011-07-13,109,6,18.16666667,0.38543057,4.317258,35.611107,21.499609,0.021257741,-0.054542944,1.0250407
A69-1601-32687,2011-07-15,15,2,7.5,0.47343266,10.656024,35.616776,21.369759,-0.18869777,0.06743021,1.1720157
A69-1601-32687,2011-07-16,123,15,8.2,0.5113924,9.637788,35.588863,21.305206,-0.24520649,0.006604151,1.4584868
A69-1601-32687,2011-07-17,178,10,17.8,0.39925408,6.8241596,35.584705,21.328802,-0.065681554,0.02535042,1.4567657
A69-1601-32687,2011-07-18,68,7,9.714285714,0.36810395,5.5852313,35.58992,21.331244,0.007501638,0.015425925,1.4428787
A69-1601-32687,2011-07-19,57,5,11.4,0.3221064,6.920219,35.595127,21.300924,0.102372214,0.042533465,1.6559124
A69-1601-32687,2011-07-22,115,9,12.77777778,0.24626829,7.9664383,35.63712,21.019455,0.111658335,0.10254172,0.9458629
